ntsb_make,ntsb_model,latimes_make,latimes_model,count
AERO ELI SERVIZI,YO-YO 222,,,1
AEROSPATIALE,350 B1,AIRBUS,350,1
AEROSPATIALE,350B1,AIRBUS,350,1
AEROSPATIALE,350D,AIRBUS,350,1
AEROSPATIALE,ALOUETTE 3,AIRBUS,Alouette III,1
AEROSPATIALE,AS 350B-2,AIRBUS,350,1
AEROSPATIALE,AS 350D,AIRBUS,350,1
AEROSPATIALE,AS 355,AIRBUS,355,1
AEROSPATIALE,AS 355F,AIRBUS,355,2
AEROSPATIALE,AS 355F1,AIRBUS,355,2
AEROSPATIALE,AS-350-B2,AIRBUS,350,1
AEROSPATIALE,AS-350-D,AIRBUS,350,2
AEROSPATIALE,AS-350B,AIRBUS,350,3
AEROSPATIALE,AS-350B1,AIRBUS,350,1
AEROSPATIALE,AS-350BA,AIRBUS,350,1
AEROSPATIALE,AS-350D,AIRBUS,350,6
AEROSPATIALE,AS-355,AIRBUS,355,1
AEROSPATIALE,AS-355-F1,AIRBUS,355,2
AEROSPATIALE,AS-355-F2,AIRBUS,355,1
AEROSPATIALE,AS-355F,AIRBUS,355,1
AEROSPATIALE,AS-355F-1,AIRBUS,355,2
AEROSPATIALE,AS-355F1,AIRBUS,355,1
AEROSPATIALE,AS-365-N2,AIRBUS,365,1
AEROSPATIALE,AS332,AIRBUS,332,1
AEROSPATIALE,AS350,AIRBUS,350,4
AEROSPATIALE,AS350-D,AIRBUS,350,1
AEROSPATIALE,AS350B,AIRBUS,350,6
AEROSPATIALE,AS350B2,AIRBUS,350,1
AEROSPATIALE,AS350BA,AIRBUS,350,5
AEROSPATIALE,AS350D,AIRBUS,350,4
AEROSPATIALE,AS350D ASTAR,AIRBUS,350,1
AEROSPATIALE,AS355,AIRBUS,355,2
AEROSPATIALE,AS355F,AIRBUS,355,2
AEROSPATIALE,AS355F-1,AIRBUS,355,1
AEROSPATIALE,AS35OD,AIRBUS,350,1
AEROSPATIALE,S350D,AIRBUS,350,1
AEROSPATIALE,SA 316B,AIRBUS,316,1
AEROSPATIALE,SA-316B,AIRBUS,316,1
AEROSPATIALE,SA-330J,AIRBUS,330,1
AEROSPATIALE,SA-341G,AIRBUS,341,1
AEROSPATIALE,SA-365-N2,AIRBUS,365,1
AEROSPATIALE,SA315B,AIRBUS,315,3
AEROSPATIALE,SA316B,AIRBUS,316,2
AEROSPATIALE,SA330J,AIRBUS,330,1
AEROSPATIALE,SA360C DAUPHIN,AIRBUS,360,1
AEROSPATIALE,SA365N,AIRBUS,365,1
AEROSPATIALE,SA365N-1 D,AIRBUS,365,1
AEROSPATIALE,SE 318C,AIRBUS,318,1
AGUSTA,109E,AGUSTA,109,1
AGUSTA,119A,AGUSTA,119,1
AGUSTA,A-109-K2,AGUSTA,109,1
AGUSTA,A109,AGUSTA,109,2
AGUSTA,A109A,AGUSTA,109,1
AGUSTA,A109A II,AGUSTA,109,3
AGUSTA,A109A MKII,AGUSTA,109,1
AGUSTA,A109C,AGUSTA,109,2
AGUSTA,A109K2,AGUSTA,109,1
AGUSTA,A119,AGUSTA,119,2
AGUSTA,AW109,AGUSTA,109,1
AGUSTA,AW119MKII,AGUSTA,119,1
AGUSTA,AW139,AGUSTA,139,1
AGUSTA BELL,206B,BELL,206,1
AGUSTA BELL,AB206-B3,BELL,206,1
AGUSTA BELL,AB206B,BELL,206,1
AGUSTA SPA,A109A II,AGUSTA,109,1
AGUSTA SPA,A109E,AGUSTA,109,2
AGUSTA/WESTLAND,A109S,AGUSTA,109,1
AGUSTAWESTLAND SPA,AGUSTA AW139,AGUSTA,139,1
AIRBUS,AS350,AIRBUS,350,1
AIRBUS HELICOPTER,EC135T2+,AIRBUS,135,1
AIRBUS HELICOPTERS,332L2,AIRBUS,332,1
AIRBUS HELICOPTERS,AS350,AIRBUS,350,1
AIRBUS HELICOPTERS,AS350B3E,AIRBUS,350,1
AIRBUS HELICOPTERS (EUROCOPTE,EC-130-B4,AIRBUS,130,1
AIRBUS HELICOPTERS INC,AS350,AIRBUS,350,1
AIRBUS HELICOPTERS INC,AS350B3E,AIRBUS,350,1
ALLENSWORTH,BABY BELLE,ALLENSWORTH,BABY BELLE,1
AMERICAN EUROCOPTER,AS-350B,AIRBUS,350,1
AMERICAN EUROCOPTER CORP,AS350B2,AIRBUS,350,1
AMERICAN EUROCOPTER CORP,AS350B3,AIRBUS,350,1
AMERICAN EUROCOPTER LLC,AS 350 B3,AIRBUS,350,1
ARMBRUSTER,MINI-500,ARMBRUSTER,,1
ARROW AIRCRAFT CO.,OH-58A,ARROW AIRCRAFT CO.,OH,1
ARROW FALCON EXPORTERS INC.,ARROW F OH-58A,ARROW AIRCRAFT CO.,OH,1
AUGUSTA,109E,AGUSTA,109,1
AUSTIN,REVOLUTION MINI 500,AUSTIN,MINI 500,1
AUTRA,SCORPION/133,AUTRA,,1
AVIATION INTERNATIONAL ROTORS,CH-54A,AVIATION INTERNATIONAL ROTORS,54,1
BAKER BOBBY J,SAFARI,BAKER BOBBY J,,1
BARKLAGE,REVOLUTION MINI 500,BARKLAGE,MINI 500,1
BELL,204,BELL,204,1
BELL,204B,BELL,204,4
BELL,205,BELL,205,1
BELL,205 A1++,BELL,205,1
BELL,205A-1,BELL,205,5
BELL,205A1,BELL,205,3
BELL,206,BELL,206,32
BELL,206 - B,BELL,206,1
BELL,206 - L3,BELL,206,1
BELL,206 - L4,BELL,206,2
BELL,206 B III,BELL,206,2
BELL,206 L-1,BELL,206,3
BELL,206 L3,BELL,206,1
BELL,206 L4,BELL,206,2
BELL,206-A,BELL,206,1
BELL,206-B,BELL,206,1
BELL,206-B-III,BELL,206,1
BELL,206-B3,BELL,206,2
BELL,206-L1,BELL,206,4
BELL,206-L3,BELL,206,3
BELL,206-L4,BELL,206,2
BELL,206A,BELL,206,3
BELL,206B,BELL,206,112
BELL,206B (II),BELL,206,1
BELL,206B II,BELL,206,1
BELL,206B III,BELL,206,8
BELL,206B-11,BELL,206,1
BELL,206B-3,BELL,206,4
BELL,206B-III,BELL,206,3
BELL,206B3,BELL,206,5
BELL,206BIII,BELL,206,4
BELL,206L,BELL,206,7
BELL,206L 3,BELL,206,3
BELL,206L-1,BELL,206,33
BELL,206L-3,BELL,206,20
BELL,206L-4,BELL,206,5
BELL,206L1,BELL,206,2
BELL,206L3,BELL,206,2
BELL,206L4,BELL,206,3
BELL,212,BELL,212,16
BELL,212 - NO SERIES,BELL,212,1
BELL,214,BELL,214,1
BELL,214B,BELL,214,1
BELL,214B-1,BELL,214,3
BELL,214B1,BELL,214,1
BELL,214ST,BELL,214,1
BELL,222,BELL,222,6
BELL,222U,BELL,222,1
BELL,222UT,BELL,222,3
BELL,407,BELL,407,32
BELL,407 - NO SERIES,BELL,407,2
BELL,412,BELL,412,9
BELL,412 EP,BELL,412,1
BELL,412/SP,BELL,412,1
BELL,412EP,BELL,412,4
BELL,412HP,BELL,412,3
BELL,412SP,BELL,412,6
BELL,429,BELL,429,2
BELL,430,BELL,430,4
BELL,47,BELL,47,1
BELL,47(SOLOY),BELL,47,1
BELL,47-G,BELL,47,1
BELL,47-G3B,BELL,47,1
BELL,47-G4,BELL,47,1
BELL,47-G4A,BELL,47,2
BELL,47-G5,BELL,47,1
BELL,47-G5A,BELL,47,1
BELL,47D1,BELL,47,6
BELL,47G,BELL,47,12
BELL,47G 2,BELL,47,1
BELL,47G 3B 1,BELL,47,1
BELL,47G 5,BELL,47,2
BELL,47G-2,BELL,47,8
BELL,47G-2A,BELL,47,1
BELL,47G-2A-1,BELL,47,3
BELL,47G-2A1,BELL,47,2
BELL,47G-3B-1,BELL,47,6
BELL,47G-3B-2,BELL,47,1
BELL,47G-3B-L,BELL,47,1
BELL,47G-3B1,BELL,47,5
BELL,47G-4A,BELL,47,4
BELL,47G-5,BELL,47,4
BELL,47G-5A,BELL,47,2
BELL,47G/TOMCAT MK5,BELL,47,1
BELL,47G2,BELL,47,3
BELL,47G2-M,BELL,47,1
BELL,47G2A,BELL,47,1
BELL,47G2A1,BELL,47,1
BELL,47G3B,BELL,47,1
BELL,47G3B2,BELL,47,1
BELL,47G5,BELL,47,1
BELL,47GL,BELL,47,1
BELL,47J-2,BELL,47,1
BELL,47J2,BELL,47,1
BELL,525,BELL,525,1
BELL,B 206B III,BELL,206,1
BELL,B-206L,BELL,206,1
BELL,B206LI,BELL,206,1
BELL,B212,BELL,212,1
BELL,BELL 47-G2,BELL,47,1
BELL,BH-206B,BELL,206,1
BELL,BHT-206L-1,BELL,206,1
BELL,HH-1H,BELL,HH-1,1
BELL,OH-58A,BELL,OH-58,3
BELL,OH-58A+,BELL,OH-58,1
BELL,OH-58C,BELL,OH-58,4
BELL,UH 1B,BELL,UH-1,1
BELL,UH-1B,BELL,UH-1,14
BELL,UH-1H,BELL,UH-1,17
BELL,UH-1L,BELL,UH-1,1
BELL,UH-1N,BELL,UH-1,1
BELL,UH-1V,BELL,UH-1,2
BELL,UH-IH,BELL,UH-1,1
BELL,UH1B,BELL,UH-1,1
BELL HELICOPTER,206,BELL,206,1
BELL HELICOPTER,206L-1,BELL,206,1
BELL HELICOPTER,407,BELL,407,3
BELL HELICOPTER CO,206B,BELL,206,1
BELL HELICOPTER TEXTRON,206 L-1,BELL,206,1
BELL HELICOPTER TEXTRON,206L 1,BELL,206,1
BELL HELICOPTER TEXTRON,206L-1,BELL,206,2
BELL HELICOPTER TEXTRON,BELL 206B,BELL,206,1
BELL HELICOPTER TEXTRON CANADA,206B,BELL,206,1
BELL HELICOPTER TEXTRON CANADA,407,BELL,407,2
BELL HELICOPTER TEXTRON CANADA,429,BELL,429,1
BELL HELICOPTER TEXTRON INC,609,BELL,609,1
BELL SHELBY AERO,47G2,BELL,47,1
BELL-CARSON,47G SUPER C 4,BELL,47,1
BELL-K COPTER,47D1,BELL,47,1
"BELL-OLYMPIC HELICOPTERS, INC.",47G2,BELL,47,1
BELL/SOLOY,47G-3B,BELL,47,1
BELL/TSIRAH,209AH-1FT,BELL,209,1
BIHN,MINI 500,BIHN,MINI 500,1
BOEING,234,BOEING,234,1
BOEING,CH-47D,BOEING,47,1
BOEING HELICOPTERS DIV.,369D,BOEING,369,1
BOEING VERTOL,107,BOEING,107,1
BOEING VERTOL,BV-107 II,BOEING,107,2
BOEING VERTOL,BV-107-II,BOEING,107,1
BOEING-VERTOL,234,BOEING,234,1
BOLKOW,BO105,BOLKOW,105,1
BRANTLEY,B-2B,BRANTLY,B2,1
BRANTLY,B 2B,BRANTLY,B2,1
BRANTLY,B-2B,BRANTLY,B2,3
BRANTLY HELICOPTER,B-2,BRANTLY,B2,3
BRANTLY HELICOPTER,B-2B,BRANTLY,B2,1
BURSON,REVOLUTION MINI 500,BURSON,MINI 500,1
BÖLKOW,BO-105S,BÖLKOW,105,1
CLATANOFF,ROTORWAY EXEC,ROTORWAY,,1
CONTINENTAL,TOMCAT MK6C,CONTINENTAL,MK6,1
CONTINENTAL COPTERS,MK-5,CONTINENTAL,MK5,1
CONTINENTAL COPTERS,TOMCAT MK5A,CONTINENTAL,MK5,2
CUNNINGHAM,ROTORWAY EXEC,ROTORWAY,,1
DUFF,MINI-500,DUFF,MINI 500,1
EAGLE R&D INC,HELICYCLE,EAGLE R&D INC,,1
ENSTROM,280 - FX,ENSTROM,280,2
